"Ticker","Name","Sector","Asset Class","Market Value","Weight (%)","Notional Value","Quantity","Price","Location","Exchange","Currency","FX Rate","Accrual Date"
"BMO","BANK OF MONTREAL","Financials","Equity","10465768.03","0.12999","10465768.03","63542","164.71","Canada","Toronto Stock Exchange","USD","1.39175","--"
"8411","MIZUHO FINANCIAL GROUP INC","Financials","Equity","10437410.79","0.12964","10437410.79","216790","48.15","Japan","Tokyo Stock Exchange","USD","160.265","--"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","10412479.49","0.12933","10412479.49","23303","446.83","United States","NASDAQ","USD","1","--"
"RIO","RIO TINTO PLC","Materials","Equity","10319260.73","0.12817","10319260.73","101377","101.79","United Kingdom","London Stock Exchange","USD","0.74702","--"
"BP.","BP PLC","Energy","Equity","10314640.6","0.12811","10314640.6","1411219","7.31","United Kingdom","London Stock Exchange","USD","0.74702","--"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","10159262.76","0.12618","10159262.76","11514","882.34","United States","NYSE","USD","1","--"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Consumer Discretionary","Equity","10088401.88","0.1253","10088401.88","48659","207.33","Switzerland","SIX Swiss Exchange","USD","0.79415","--"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","10053016.96","0.12486","10053016.96","314430","31.97","Germany","Xetra","USD","0.86513","--"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","10009094","0.12432","10009094","56152","178.25","United States","NYSE","USD","1","--"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","10001273.31","0.12422","10001273.31","33281","300.51","United States","NYSE","USD","1","--"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","9970819.12","0.12384","9970819.12","19037","523.76","United States","NYSE","USD","1","--"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","9942089.43","0.12349","9942089.43","55029","180.67","United States","NYSE","USD","1","--"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","9905967.24","0.12304","9905967.24","103956","95.29","United States","NASDAQ","USD","1","--"
