ticker,sector,industry,marketCap,enterpriseValue,ebitda,netIncomeToCommon,freeCashflow,bookValue,sharesOutstanding,totalDebt,totalCash,totalAssets,grossProfits,operatingCashflow,returnOnAssets,returnOnEquity,operatingMargins,grossMargins,currentRatio,debtToEquity,totalRevenue,revenueGrowth,earningsGrowth,interestExpense,enterprise_value,book_value_total,net_debt,ebitda_yield,earnings_yield,fcf_yield,book_yield,gp_a,fcf_ni,revenue_cagr_3y,fcf_cagr_3y,revenue_trend_ols,fcf_trend_ols,delta_gross_margin,asset_growth,share_dilution,dn_ebitda,interest_coverage,cfo_debt,roce
CFG,Financial Services,Banks - Regional,30016161792,31281160192.0,,1832000000.0,,56.478,422881942,12314000384.0,13159999488.0,226351000000.0,7885000192.0,2660999936.0,0.00882,0.07739,0.32051,0.0,,0.46791049070942736,7885000192.0,0.138,0.468,,31281160192.0,26317000000.0,-845999104.0,0.0,0.06103378615477314,0.0,0.8767609990366619,0.03483527880150739,0.0,0.009305158100850308,-0.20096848979863957,0.003256865112535216,-0.25343054776593754,,0.040593781749808065,0.003338758281044932,,,0.21609548911964693,
CLX,Consumer Defensive,Household & Personal Products,11760811008,15213810688.0,1274000000.0,756000000.0,62750000.0,-0.554,120921351,4486000128.0,1192000000.0,5561000000.0,2964000000.0,576000000.0,0.110369995,5.46099,0.17006001,0.43846,0.84,48.760870000000004,6760000000.0,0.001,0.027,,15213810688.0,321000000.0,3294000128.0,0.0837397037551464,0.064281281238662,0.00533551639910852,0.027294036081495377,0.5329976622909549,0.08300264550264551,-0.00014072614877613798,0.12463162432326258,-0.004251908130903008,0.034108527131782945,0.09418275520138125,-0.033037732568249004,0.0,2.585557400313972,13.25,0.1283994613385798,0.3201537616694124
CME,Financial Services,Financial Data & Stock Exchanges,85488967680,86961020928.0,4792500224.0,4244800000.0,3030237440.0,73.573,361319613,3742200064.0,2515399936.0,198424200000.0,6743600128.0,4420400128.0,0.0155,0.15919,0.69806,1.0,1.018,14.059,6743600128.0,0.144,0.213,,86961020928.0,28728200000.0,1226800128.0,0.055110901100942515,0.049653190524992896,0.03544594726354286,0.3360457001602198,0.033985774557740434,0.7138704862419902,0.09113524548501961,0.12233880065457936,0.08696804163619941,0.11040201502780568,0.010940224077314986,0.44364154910620096,-0.0018130997894696378,0.2559833219947284,31.741061130334487,1.1812303063441987,0.14435512425414726
CMS,Utilities,Utilities - Regulated Electric,24012322816,43727319040.0,3048000000.0,1096999936.0,-2161625088.0,29.919,308919602,19081000960.0,175000000.0,39941000000.0,3576999936.0,1940000000.0,0.03131,0.103719994,0.19816999,0.40546,0.842,1.8984200000000002,8821999616.0,0.116,0.089,,43727319040.0,9144000000.0,18906000960.0,0.06970470787865617,0.045684873737789414,0.0,0.3808044756880883,0.08955709511529505,-1.9704878888889925,-0.002215234024431356,,-0.0014698555057299453,-0.01972149040270982,0.09395887077881132,0.11194320712694877,0.025517139229927193,6.202756220472441,2.56390977443609,0.10167181501991812,0.05621960267084329
KO,Consumer Defensive,Beverages - Non-Alcoholic,362010869760,394938875904.0,16714999808.0,13701000192.0,3124250112.0,7.816,4302482418,44646998016.0,13820000256.0,104816000000.0,30429999104.0,14631000064.0,0.0951,0.43372002,0.35055,0.61744,1.358,1.24943,49284001792.0,0.121,0.182,,394938875904.0,32169000000.0,30826997760.0,0.04232300446427312,0.03784693040041384,0.008630266030606385,0.08886197262896242,0.29031826347122575,0.22803080565054268,0.03689014114187783,-0.1779638000683169,0.03508489333913801,-0.24176273961388908,0.034823197973606,0.04243702075604929,-5.556178977272727e-05,1.844271499497465,10.672309552599758,0.3277040050656202,0.211312623451248
CTSH,Technology,Information Technology Services,19861270528,19472779264.0,3891000064.0,2228999936.0,1908875008.0,31.789,473000000,1092000000.0,1516999936.0,20692000000.0,7174000128.0,2756999936.0,0.10438,0.14876,0.15574001,0.33514,2.226,7.247,21405999104.0,0.058,0.036,,19472779264.0,15015000000.0,-424999936.0,0.19981739695439502,0.11222846659570962,0.09611041777558532,0.7559939319507365,0.34670404639474195,0.8563818137319139,0.028031282502597676,0.05088498682960241,0.02724270015698587,0.0411025256602468,-0.022104531850843157,0.0363618150856456,-0.03232323232323232,-0.10922640169866622,95.02702702702703,2.5247252161172162,0.20642282627840075
COHR,Technology,Scientific & Technical Instruments,65218322432,66558410752.0,1313731968.0,400608992.0,-197631744.0,54.601,195639321,3425114880.0,2423729920.0,14910936000.0,2442114048.0,140342000.0,0.03142,0.04718,0.13572,0.36990002,3.05,0.31093,6602083840.0,0.205,,,66558410752.0,8127775000.0,1001384960.0,0.019738030898830076,0.006142583511216433,0.0,0.1246241040387759,0.1637800637062623,-0.4933282775639744,0.20548879782532903,0.2487157179846986,0.14800237900206897,0.1639407298981767,-0.029878839279443348,0.029147123186354214,0.02044461240330032,0.7622444946091165,1.3871762089364483,0.04097439207644912,0.025726559620069846
COIN,Financial Services,Financial Data & Stock Exchanges,43597488128,41123909632.0,1002446976.0,800601984.0,2407562752.0,51.177,222426875,7964423168.0,10438001664.0,29671832000.0,5372901888.0,1756433024.0,0.01926,0.06686,-0.07097,0.85475,2.141,0.5908100000000001,6285964800.0,-0.308,,,41123909632.0,14793058000.0,-2473578496.0,0.024376256658728765,0.018363488778286342,0.055222510639409285,0.33930986933394736,0.18107752456943002,3.0071905892254196,0.3100276522124539,,0.30760253520261227,0.4436391659970689,-0.05641058831382828,0.3162938735870733,0.05596909004888819,-2.4675404836574617,18.820062519756945,0.22053486950029424,0.0766540696357511
CL,Consumer Defensive,Household & Personal Products,76122005504,83017007104.0,4920999936.0,2088000000.0,3319500032.0,0.181,800189310,7973000192.0,1419000064.0,16330000000.0,12490000384.0,4344999936.0,0.16098,3.6357698,0.20924,0.60063,1.025,16.405350000000002,20795000832.0,0.084,-0.059,,83017007104.0,54000000.0,6554000128.0,0.05927700970760354,0.027429650416794148,0.04360762712466331,0.000709387510779159,0.7648499928965095,1.5897988659003832,0.042934601917500315,0.2501361858790321,0.04050470432695393,0.19298013245033113,0.030690542971865575,0.017699115044247787,0.0,1.3318431646490474,12.456928838951312,0.5449642332079352,0.35095494354753615
CMCSA,Communication Services,Telecom Services,84983324672,170393321472.0,35371999232.0,18797000704.0,4013125120.0,24.679,3562784182,94611996672.0,9468000256.0,272631000000.0,87856996352.0,32240001024.0,0.04535,0.20918,0.13145,0.70129997,0.865,1.06858,125277003776.0,0.053,-0.326,,170393321472.0,96903000000.0,85143996416.0,0.2075902912533607,0.22118457681608175,0.04722250083165115,1.1402589905020184,0.3222560763522857,0.2134981629886308,0.006220134237919117,0.1500401546539305,0.007339576744821455,0.13487148209462402,0.032168871252804876,0.024116208571396375,-0.0294597866355078,2.407101613271911,6.843955545475165,0.34076018008339193,0.1261987311120126
